specialty_id,section_id,section_display_name,section_order,section_description,field_id,prompt,field_type,placeholder,options,required
Psychiatry / Mental Health,past_medical,Past Medical History,7,core|structured_section,medical_conditions,Medical conditions,textarea,e.g. Hypothyroidism,,FALSE
Psychiatry / Mental Health,past_medical,Past Medical History,7,core|structured_section,allergies,Allergies,,e.g. None,,FALSE
Psychiatry / Mental Health,social,Social History,8,core|structured_section,family_history,Family psychiatric hx,,e.g. Mother bipolar,,FALSE
Psychiatry / Mental Health,social,Social History,8,core|structured_section,living_situation,Living situation,,e.g. Lives with parents,,FALSE
Psychiatry / Mental Health,social,Social History,8,core|structured_section,employment,Employment,,e.g. Unemployed,,FALSE
Psychiatry / Mental Health,social,Social History,8,core|structured_section,forensic,Forensic history,,e.g. None,,FALSE
Psychiatry / Mental Health,mental_state,Mental State Examination,9,core|examination,appearance,Appearance/behaviour,,"e.g. Well kempt, cooperative",,FALSE
Psychiatry / Mental Health,mental_state,Mental State Examination,9,core|examination,speech,Speech,,e.g. Normal rate,,FALSE
Psychiatry / Mental Health,mental_state,Mental State Examination,9,core|examination,mood_affect,Mood/affect,,"e.g. Low mood, restricted",,FALSE
Psychiatry / Mental Health,mental_state,Mental State Examination,9,core|examination,thought_form,Thought form/content,,"e.g. Linear, no delusions",,FALSE
Psychiatry / Mental Health,mental_state,Mental State Examination,9,core|examination,cognition,Cognition/insight,,"e.g. Oriented, partial insight",,FALSE
Psychiatry / Mental Health,impression,Doctor Impression,10,core|clinician_entered,impression,Impression/Diagnosis,,e.g. Moderate depression,,TRUE
Psychiatry / Mental Health,plan,Doctor Plan,11,core|clinician_entered,plan,Plan,textarea,"e.g. Start SSRI, safety plan",,TRUE
Psychiatry / Mental Health,follow_up,Follow-up,12,core|plan,follow_up,Follow-up plan,,e.g. 1 week,,FALSE
